id,date,author,words,answers,explanation,direction,difficulty,clue
1,21/08/2026,TonyValues,אבן|חדר|אסיר|גביע|מסדר|נסיך,אוצרות|אוצרות המוות,המילה הראשונה בספרי הארי פוטר,straight,1,סדרת ספרים
2,24/08/2026,TonyValues,אלג'יריה|קזחסטן|ארגנטינה|הודו|אוסטרליה|ברזיל|ארצות הברית|סין|קנדה,רוסיה,המדינות בעלות השטח הגדול ביותר,reversed,1,תכונה של מדינה
3,27/08/2026,TonyValues,233|144|89|55|34|,21,סדרת פיבונאצ'י,reversed,2,סדרת מספרים
4,31/08/2026,RPN,פרה|כבשה|תרנגול|סוסה,שפן,סדר החיות בשיר לדוד משה,straight,2,שיר ילדים
5,01/09/2026,TonyValues,K|Q|J|10|9|8,שבע|7,חבילת קלפים,reversed,1,קלפים
6,03/09/2026,RPN,איתי שגב|ג'ובאני רוסו|אסי בוזגלו,אלה אייבינדר|אלה|אלה איבינדר,מנצחי הישרדות ישראל VIP ,straight,3,מנצחי ריאליטי
7,05/09/2026,TonyValues,קובי|עדן|עדן|מיכאל|נועה|עדן|יובל,נועם|נעם,נציגי ישראל באירוויזיון בשנים האחרונות,straight,2,נציגי ישראל
8,07/09/2026,RPN,מלכת|תאמין|לזאת|חיים|מועבט|עם|7|דם,עוד|עוד פעם,אלבומים של עדן בן זקן,straight,3,אלבומים
9,09/09/2026,TonyValues,2|3|the amazing|the amazing 2|homecoming|far from home|no way home,brand new day,סרטי ספיידרמן בלי המילה ספיידרמן,straight,2,סדרת סרטים
10,11/09/2026,RPN,נפל על שיח ורדים|אבא ניפח גדול מדי|החתולה שרטה|חיבקה,עף|עף למעלה|עף גבוה|עף לשמיים|עף לעננים,סיבת פיצוץ הבלונים במעשה בחמישה בלונים,straight,1,ספר ילדים
11,13/09/2026,TonyValues,אל המסחר|אלת היופי|אין|אל המלחמה|מלך האלים|אל החקלאות|אל השמיים,אל הים|נפטון,על שמם קרויים שמות כוכבי הלכת במערכת השמש,straight,2,מערכת השמש
12,15/09/2026,TonyValues,שדרות|נתיבות|רהט|אופקים|ערד|באר שבע|דימונה,אילת,הערים הכי דרומיות בישראל,straight,1,כל הערים דרומיות
13,17/09/2026,TonyValues,סגול|אינדיגו|כחול|ירוק|צהוב|כתום,אדום,צבעי הקשת,none,1,גשם+שמש
14,19/09/2026,TonyValues,5|6|2|9|5|1|4|1,3,ספרות של פאי,reversed,3,היקף מעגל חלקי הקוטר
15,21/09/2026,TonyValues,סנקט פטרסבורג|פטרוגרד|לנינגרד,סנקט פטרסבורג|סנט פטרסבורג,שמות סנקט פטרסבורג,straight,3,האם אלה ערים שונות?
16,23/09/2026,TonyValues,ברזיל|איטליה|ספרד|גרמניה|צרפת|ארגנטינה,ספרד,מדינות שניצחו את המונדיאלים האחרונים,straight,2,
17,25/09/2026,,מנחם בגין|דוד בן גוריון|נפתלי בנט|אהוד ברק|יאיר לפיד,גולדה מאיר|גולדה|מאיר,ראשי ממשלה בסדר שמות המשפחה,straight,2,
18,27/09/2026,TonyValues,11|10|8|7|vista|xp|me,98,גרסאות של windows,reversed,1,
